BaskervilleBE-Regular				301-350/324/virg____.afm
BaskervilleBook-Italic				201-250/232/bti_____.afm
BaskervilleBook-MedItalic				201-250/232/btmi____.afm
BaskervilleBook-Medium				201-250/232/btm_____.afm
BaskervilleBook-Regular				201-250/232/btrg____.afm
BaskervilleCyr-Bold				351-400/365/_byb____.afm
BaskervilleCyr-Inclined				351-400/365/_byi____.afm
BaskervilleCyr-Upright				351-400/365/_by_____.afm
BauerBodoni-Black				101-150/111/bbbl____.afm
BauerBodoni-BlackCond				101-150/111/bbblc___.afm
BauerBodoni-BlackItalic				101-150/111/bbbli___.afm
BauerBodoni-Bold				051-100/098/bbb_____.afm
BauerBodoni-BoldCond				101-150/111/bbbc____.afm
BauerBodoni-BoldItalic				051-100/098/bbbi____.afm
BauerBodoni-BoldItalicOsF				151-200/199/bbbio___.afm
BauerBodoni-BoldOsF				151-200/199/bbbof___.afm
BauerBodoni-Italic				051-100/098/bbi_____.afm
BauerBodoni-ItalicOsF				151-200/199/bbiof___.afm
BauerBodoni-Roman				051-100/098/bbr_____.afm
BauerBodoni-RomanSC				151-200/199/bbrsc___.afm
Bauhaus-Bold				051-100/087/bhb_____.afm
Bauhaus-Bold				900-960/950/bhb_____.afm
Bauhaus-Demi				051-100/087/bhd_____.afm
Bauhaus-Demi				900-960/950/bhd_____.afm
Bauhaus-Heavy				051-100/087/bhh_____.afm
Bauhaus-Heavy				900-960/950/bhh_____.afm
Bauhaus-Light				051-100/087/bhl_____.afm
Bauhaus-Light				900-960/950/bhl_____.afm
Bauhaus-Medium				051-100/087/bhm_____.afm
Bauhaus-Medium				900-960/950/bhm_____.afm
Beesknees				351-400/355/ikh_____.afm
Beesknees				900-960/904/ikh_____.afm
BellCentennial-Address				301-350/309/bladd___.afm
BellCentennial-BoldListing				301-350/309/blbls___.afm
BellCentennial-BoldListingAlt				301-350/309/blbla___.afm
BellCentennial-NameAndNumber				301-350/309/blnan___.afm
BellCentennial-SubCaption				301-350/309/blscp___.afm
Bellevue				251-300/260/qsrg____.afm
Bellevue				ai-fonts/qsrg____.afm
Bellevue				valuepak/qsrg____.afm
